Date,Log Stock Price,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close,Log Total Asset,Currency in Circulation/Total Asset,Unemployment Rate
1/31/2000,7.240262523,594.68,0,5.45,1394.46,0,0,4.1
2/29/2000,7.21994946,566.14,0,5.73,1366.42,0,0,4
3/31/2000,7.312273272,563.71,0,5.85,1498.58,0,0,3.8
4/30/2000,7.280993295,564.73,0,6.02,1452.43,0,1,4
5/31/2000,7.258834597,565.84,0,6.27,1420.6,0,0,4
6/30/2000,7.282486228,568.33,0,6.53,1454.6,0,2,4
7/31/2000,7.266009974,571.22,0,6.54,1430.83,0,0,4.1
8/31/2000,7.324938132,569.31,0,6.5,1517.68,0,3,3.9
9/30/2000,7.26997184,570.68,0,6.52,1436.51,0,0,3.9
10/31/2000,7.265010055,571.48,0,6.51,1429.4,0,4,3.9
11/30/2000,7.181553921,575,0,6.51,1314.95,0,0,3.9
12/31/2000,7.185599114,583.12,0,6.4,1320.28,0,5,4.2
1/31/2001,7.219649361,585.11,0,5.98,1366.01,0,0,4.2
2/28/2001,7.12281827,582.52,0,5.49,1239.94,0,6,4.3
3/31/2001,7.056459726,585.08,0,5.31,1160.33,0,0,4.4
4/30/2001,7.130466737,587.93,0,4.8,1249.46,0,7,4.3
5/31/2001,7.135544025,590.87,0,4.21,1255.82,0,0,4.5
6/30/2001,7.110189872,594.37,0,3.97,1224.38,0,8,4.6
7/31/2001,7.099391651,600.39,0,3.77,1211.23,0,0,4.9
8/31/2001,7.033136045,606.13,0,3.65,1133.58,0,9,5
9/30/2001,6.94787943,613.56,0,3.07,1040.94,0,0,5.3
10/31/2001,6.965816618,615.01,0,2.49,1059.78,0,10,5.5
11/30/2001,7.038300969,621.87,0,2.09,1139.45,0,0,5.7
12/31/2001,7.045846261,630.28,0,1.82,1148.08,0,11,5.7
1/31/2002,7.030149887,635.43,0,1.73,1130.2,0,0,5.7
2/28/2002,7.009165001,635.88,0,1.74,1106.73,0,12,5.7
3/31/2002,7.045245077,639.7,0,1.73,1147.39,0,0,5.9
4/30/2002,6.981860394,643.58,0,1.75,1076.92,0,13,5.8
5/31/2002,6.972737452,648.29,0,1.75,1067.14,0,0,5.8
6/30/2002,6.897523108,654.77,0,1.75,989.82,0,14,5.8
7/31/2002,6.815223237,660.96,0,1.73,911.62,0,0,5.7
8/31/2002,6.820092781,660.56,0,1.74,916.07,0,15,5.7
9/30/2002,6.703531613,662.19,0,1.75,815.28,0,0,5.7
10/31/2002,6.786446034,662.24,0,1.75,885.76,0,16,5.9
11/30/2002,6.841946618,667.44,0,1.34,936.31,0,0,6
12/31/2002,6.779717341,676.47,725800.5,1.24,879.82,13.49503046,0.000932033,5.8
1/31/2003,6.751919847,679.41,724718.4,1.24,855.7,13.49353844,0.000937481,5.9
2/28/2003,6.734770003,679.83,721326,1.26,841.15,13.48884646,0.000942473,5.9
3/31/2003,6.743092877,683.41,723651.25,1.25,848.18,13.49206486,0.000944391,6
4/30/2003,6.821020227,687.06,736926.4,1.26,916.92,13.5102433,0.000932332,6.1
5/31/2003,6.870665893,690.52,738358,1.26,963.59,13.51218408,0.00093521,6.3
6/30/2003,6.881924519,691.95,738711.75,1.22,974.5,13.51266307,0.000936698,6.2
7/31/2003,6.898018025,694.26,741656.2,1.01,990.31,13.51664107,0.000936094,6.1
8/31/2003,6.915733369,694.7,740216.5,1.03,1008.01,13.51469799,0.000938509,6.1
9/30/2003,6.903717137,697.7,743206.75,1.01,995.97,13.51872955,0.00093877,6
10/31/2003,6.957221405,700.71,747068.4,1.01,1050.71,13.52391203,0.000937946,5.8
11/30/2003,6.96432463,706.31,747801.25,1,1058.2,13.52489251,0.000944516,5.7
12/31/2003,7.01384353,716.19,759809.6,0.98,1111.92,13.54082315,0.000942591,5.7
1/31/2004,7.030972412,713.75,759938.25,1,1131.13,13.54099246,0.000939221,5.6
2/29/2004,7.043107513,713.25,753644.25,1.01,1144.94,13.53267572,0.000946401,5.8
3/31/2004,7.026613292,713.92,755538,1,1126.21,13.53518536,0.000944916,5.6
4/30/2004,7.009679899,716.78,762182,1,1107.3,13.54394065,0.000940432,5.6
5/31/2004,7.021690923,719.68,762913.75,1,1120.68,13.54490026,0.000943331,5.6
6/30/2004,7.039520112,726.44,770590,1.03,1140.84,13.55491173,0.000942706,5.5
7/31/2004,7.004627874,734.83,776094.75,1.26,1101.72,13.56202989,0.00094683,5.4
8/31/2004,7.006912595,734.62,771095.5,1.43,1104.24,13.55556751,0.000952697,5.4
9/30/2004,7.016232931,738.15,786291.4,1.6,1114.58,13.57508274,0.000938774,5.5
10/31/2004,7.030149887,740.82,788387.5,1.76,1130.2,13.577745,0.000939665,5.4
11/30/2004,7.068018667,746.58,798767.75,1.93,1173.82,13.59082551,0.000934665,5.4
12/31/2004,7.099961158,753.4,808972.6,2.16,1211.92,13.60352033,0.000931305,5.3
1/31/2005,7.07434541,750.2,807094.75,2.28,1181.27,13.60119635,0.000929507,5.4
2/28/2005,7.093072345,750.39,800556.75,2.5,1203.6,13.5930627,0.000937335,5.2
3/31/2005,7.073769593,752.08,802471.6,2.63,1180.59,13.59545174,0.000937205,5.2
4/30/2005,7.053456073,753.66,803656,2.78,1156.85,13.5969266,0.000937789,5.1
5/31/2005,7.082968297,754.18,805624,3,1191.5,13.59937241,0.000936144,5
6/30/2005,7.082825609,760,812643.2,3.04,1191.33,13.60804742,0.00093522,5
7/31/2005,7.118162061,763.85,815370,3.26,1234.18,13.61139728,0.000936814,4.9
8/31/2005,7.106876593,763.35,815141.8,3.5,1220.33,13.61111736,0.000936463,5
9/30/2005,7.1138015,767.94,820696.75,3.62,1228.81,13.61790895,0.000935717,5
10/31/2005,7.095901506,768.81,819207.25,3.78,1207.01,13.61609238,0.00093848,5
11/30/2005,7.130482744,774.62,826201.6,4,1249.48,13.62459409,0.000937568,4.9
12/31/2005,7.129529894,783.34,840054.25,4.16,1248.29,13.64122175,0.000932487,4.7
1/31/2006,7.154677855,786.82,836539,4.29,1280.08,13.63702842,0.000940566,4.8
2/28/2006,7.155130849,785.38,833804,4.49,1280.66,13.63375364,0.000941924,4.7
3/31/2006,7.166165583,788.92,838655.6,4.59,1294.87,13.63955541,0.000940696,4.7
4/30/2006,7.178247957,790.54,838093.75,4.79,1310.61,13.63888525,0.00094326,4.6
5/31/2006,7.146843043,794.31,842451.2,4.94,1270.09,13.64407102,0.000942856,4.6
6/30/2006,7.146929647,794.3,846038,4.99,1270.2,13.64831955,0.000938847,4.7
7/31/2006,7.152002572,795.92,846874,5.24,1276.66,13.6493072,0.000939833,4.7
8/31/2006,7.173053696,793.6,844411.4,5.25,1303.82,13.6463951,0.000939826,4.5
9/30/2006,7.197323072,794.47,844410.75,5.25,1335.85,13.64639433,0.000940857,4.4
10/31/2006,7.228344909,794.14,849620.75,5.25,1377.94,13.65254535,0.000934699,4.5
11/30/2006,7.244677414,800.54,858302.8,5.25,1400.63,13.66271223,0.000932701,4.4
12/31/2006,7.25721425,809.33,862756.75,5.24,1418.3,13.66788806,0.000938074,4.6
1/31/2007,7.271175423,808.85,861258.6,5.25,1438.24,13.66615009,0.000939149,4.5
2/28/2007,7.249087117,805.36,867225,5.26,1406.82,13.67305374,0.000928663,4.4
3/31/2007,7.259017601,806.34,868370.75,5.26,1420.86,13.67437403,0.000928567,4.5
4/30/2007,7.301397437,807.56,867195.25,5.25,1482.37,13.67301943,0.000931232,4.4
5/31/2007,7.333428161,809.5,875321.4,5.25,1530.62,13.68234641,0.000924803,4.6
6/30/2007,7.31545123,811.08,867222.25,5.25,1503.35,13.67305057,0.000935262,4.7
7/31/2007,7.282946729,814.65,870706,5.26,1455.27,13.67705966,0.00093562,4.6
8/31/2007,7.295728288,811.73,867258.6,5.02,1473.99,13.67309248,0.000935972,4.7
9/30/2007,7.330896572,811.9,878775.5,4.94,1526.75,13.68628474,0.000923899,4.7
10/31/2007,7.34561013,813.66,877940.6,4.76,1549.38,13.68533422,0.000926783,4.7
11/30/2007,7.300567341,819.86,886426.5,4.49,1481.14,13.69495349,0.000924905,5
12/31/2007,7.291901411,820.29,885789.75,4.24,1468.36,13.6942349,0.000926055,5
1/31/2008,7.228787501,817.37,894807.8,3.94,1378.55,13.70436423,0.000913459,4.9
2/29/2008,7.193407793,814.43,881700.25,2.98,1330.63,13.68960742,0.000923704,5.1
3/31/2008,7.187430381,816.64,890096,2.61,1322.7,13.6990846,0.000917474,5
4/30/2008,7.233881321,813.94,886510.6,2.28,1385.59,13.69504836,0.000918139,5.4
5/31/2008,7.244498907,817.69,892986,1.98,1400.38,13.70232618,0.000915681,5.6
6/30/2008,7.154615357,822.83,895391.5,2,1280,13.70501633,0.000918961,5.8
7/31/2008,7.144707056,829.95,905993.4,2.01,1267.38,13.7167873,0.000916066,6.1
8/31/2008,7.156823854,830.51,906233.75,2,1282.83,13.71705255,0.000916441,6.1
9/30/2008,7.061643067,833.94,1009474,1.81,1166.36,13.82493996,0.000826113,6.5
10/31/2008,6.876006581,849.12,1727614.6,0.97,968.75,14.36225217,0.000491499,6.8
11/30/2008,6.798208234,864.07,2145077.75,0.39,896.24,14.57868636,0.000402815,7.3
12/31/2008,6.80599937,877.88,2222737.4,0.16,903.25,14.61425006,0.000394954,7.8
1/31/2009,6.716449485,886.18,2033836.75,0.15,825.88,14.52543459,0.000435718,8.3
2/28/2009,6.599992941,894.16,1881628.5,0.22,735.09,14.44764818,0.000475205,8.7
3/31/2009,6.681945677,900.75,1984832.25,0.18,797.87,14.50104496,0.000453817,9
4/30/2009,6.771717892,903.41,2123506.2,0.15,872.81,14.56857915,0.000425433,9.4
5/31/2009,6.82343845,905.51,2134464,0.18,919.14,14.57372612,0.000424233,9.5
6/30/2009,6.823634266,907.58,2057022.5,0.21,919.32,14.53677011,0.000441211,9.5
7/31/2009,6.895156243,909.56,2022073.2,0.16,987.48,14.51963388,0.000449816,9.6
8/31/2009,6.928165565,910.77,2034911.25,0.16,1020.62,14.52596276,0.000447572,9.8
9/30/2009,6.963265669,912.97,2122220,0.15,1057.08,14.56797327,0.000430196,10
10/31/2009,6.943305804,915.32,2173382.25,0.12,1036.19,14.59179515,0.00042115,9.9
11/30/2009,6.999084819,918.24,2178795.5,0.12,1095.63,14.59428276,0.000421444,9.9
12/31/2009,7.016699366,924.31,2219218,0.12,1115.1,14.61266544,0.000416503,9.8
1/31/2010,6.979024225,921.23,2256424,0.11,1073.87,14.62929182,0.00040827,9.8
2/28/2010,7.007138969,927.21,2267424.75,0.13,1104.49,14.63415527,0.000408926,9.9
3/31/2010,7.06427173,932.54,2298183.4,0.16,1169.43,14.64762954,0.000405773,9.9
4/30/2010,7.078923198,935.05,2328737,0.2,1186.69,14.66083662,0.000401527,9.6
5/31/2010,6.993391544,937.47,2336799.5,0.2,1089.41,14.66429282,0.000401177,9.4
6/30/2010,6.938003164,941.36,2337481.8,0.18,1030.71,14.66458475,0.000402724,9.4
7/31/2010,7.004518947,944.76,2332588.5,0.18,1101.6,14.66248915,0.000405026,9.5
8/31/2010,6.955907144,946.09,2317172.25,0.19,1049.33,14.65585814,0.000408295,9.5
9/30/2010,7.039835619,951.33,2301947.8,0.19,1141.2,14.64926619,0.000413272,9.4
10/31/2010,7.07602862,960.37,2304649,0.19,1183.26,14.65043895,0.00041671,9.8
11/30/2010,7.073735711,970.89,2318469.75,0.19,1180.55,14.65641794,0.000418763,9.3
12/31/2010,7.136992228,979.39,2392691.8,0.18,1257.64,14.68792957,0.000409326,9.1
1/31/2011,7.159385213,978.91,2443221.5,0.17,1286.12,14.70882801,0.000400664,9
